city,military_base
Wausau,FALSE
Camden,FALSE
Anniston,FALSE
Evanston,FALSE
Apple Valley,FALSE
Mansfield,FALSE
Caguas,FALSE
Schaumburg,FALSE
Pocatello,FALSE
Woodbury,FALSE
Southfield,FALSE
Ellicott City,FALSE
Dale City,FALSE
Maple Grove,FALSE
Pittsburg,FALSE
New Britain,FALSE
Morgantown,FALSE
Mansfield,FALSE
Hammond,FALSE
Dothan,FALSE
Harrisonburg,FALSE
Wenatchee,FALSE
Waukesha,FALSE
Pawtucket,FALSE
Redmond,FALSE
Lauderhill,FALSE
Sumter,FALSE
Redlands,FALSE
Daphne,FALSE
Mount Vernon,FALSE
Weston,FALSE
St. Charles,FALSE
Janesville,FALSE
Sherman,FALSE
North Richland Hills,FALSE
Broomfield,FALSE
El Paso de Robles,FALSE
Bristol,FALSE
Wilmington,FALSE
Casas Adobes,FALSE
Walnut Creek,FALSE
Poinciana,FALSE
Lynwood,FALSE
Glen Burnie,FALSE
Lehi,FALSE
Passaic,FALSE
Homestead,FALSE
West Bend,FALSE
Delray Beach,FALSE
Sheboygan,FALSE
Lake Elsinore,FALSE
Daytona Beach,FALSE
Los Lunas,FALSE
Lima,FALSE
Decatur,FALSE
Rocklin,FALSE
Rogers,FALSE
Castle Rock,FALSE
Hanover,FALSE
Bossier City,FALSE
Dubuque,FALSE
Rockville,FALSE
Victoria,FALSE
Saratoga Springs,FALSE
Guaynabo,FALSE
Gaithersburg,FALSE
Union City,FALSE
Ames,FALSE
West Des Moines,FALSE
South San Francisco,FALSE
Yorba Linda,FALSE
Casper,FALSE
Palatine,FALSE
Corvallis,FALSE
Ankeny,FALSE
Mount Vernon,FALSE
Rowlett,FALSE
Lakeville,FALSE
Alpharetta,FALSE
Longview,FALSE
DeKalb,FALSE
Petaluma,FALSE
Redondo Beach,FALSE
Tamarac,FALSE
Laguna Niguel,FALSE
Eagan,FALSE
Kenner,FALSE
Bay City,FALSE
North Little Rock,FALSE
Sammamish,FALSE
Shawnee,FALSE
Jupiter,FALSE
Doral,FALSE
Florence-Graham,FALSE
Carbondale,FALSE
Blaine,FALSE
Weirton,FALSE
Tulare,FALSE
Wellington,FALSE
Pflugerville,FALSE
Palo Alto,FALSE
Schenectady,FALSE
Great Falls,FALSE
Michigan City,FALSE
Bayonne,FALSE
Eden Prairie,FALSE
Port Orange,FALSE
Dublin,FALSE
Grand Forks,FALSE
Noblesville,FALSE
San Clemente,FALSE
Brentwood,FALSE
Carmichael,FALSE
East Orange,FALSE
Eastvale,FALSE
Chapel Hill,FALSE
Rocky Mount,FALSE
Haverhill,FALSE
Beloit,FALSE
Glens Falls,FALSE
Brentwood,FALSE
Fairbanks,FALSE
Springfield,FALSE
Bethesda,FALSE
Johnstown,FALSE
Dundalk,FALSE
Castro Valley,FALSE
Coon Rapids,FALSE
Elmira,FALSE
Mankato,FALSE
Albany,FALSE
North Miami,FALSE
Encinitas,FALSE
Skokie,FALSE
Leander,FALSE
Parkersburg,FALSE
Waltham,FALSE
Port Charlotte,FALSE
Palm Harbor,FALSE
San Luis Obispo,FALSE
Sebring,FALSE
Council Bluffs,FALSE
Hamilton,FALSE
Moore,FALSE
Pico Rivera,FALSE
Casa Grande,FALSE
Monessen,FALSE
Montebello,FALSE
Rome,FALSE
The Hammocks,FALSE
Millcreek,FALSE
Sanford,FALSE
National City,FALSE
Mayagüez,FALSE
Burnsville,FALSE
Coconut Creek,FALSE
Morristown,FALSE
Reston,FALSE
Lakewood,FALSE
Spring,FALSE
Gadsden,FALSE
Taylor,FALSE
Novi,FALSE
Marietta,FALSE
Hot Springs,FALSE
Woodland,FALSE
Fountainebleau,FALSE
La Habra,FALSE
Malden,FALSE
South Whittier,FALSE
Commerce City,FALSE
South Hill,FALSE
Bristol,FALSE
Columbus,FALSE
West Allis,FALSE
Taylorsville,FALSE
Bangor,FALSE
Monterey Park,FALSE
Greenwood,FALSE
Bartlett,FALSE
Bradenton,FALSE
Pontiac,FALSE
Staunton,FALSE
Meriden,FALSE
Gardena,FALSE
Apex,FALSE
Royal Oak,FALSE
Cupertino,FALSE
La Mesa,FALSE
Benton Harbor,FALSE
St. Clair Shores,FALSE
Des Plaines,FALSE
Lewiston,FALSE
Margate,FALSE
Midland,FALSE
Carson City,FALSE
Bowie,FALSE
Middletown,FALSE
Caldwell,FALSE
San Rafael,FALSE
Richland,FALSE
St. Peters,FALSE
Wesley Chapel,FALSE
Hendersonville,FALSE
White Plains,FALSE
Huntersville,FALSE
Santee,FALSE
Jefferson City,FALSE
Beckley,FALSE
Arcadia,FALSE
Titusville,FALSE
Cartersville,FALSE
Walla Walla,FALSE
Orland Park,FALSE
Towson,FALSE
Weymouth,FALSE
Parker,FALSE
Palm Beach Gardens,FALSE
Bozeman,FALSE
East Stroudsburg,FALSE
Huntington Park,FALSE
Taunton,FALSE
Midwest City,FALSE
Medford,FALSE
Goldsboro,FALSE
Euless,FALSE
Manhattan,FALSE
Shoreline,FALSE
Lake Havasu City,FALSE
Smyrna,FALSE
Cape Girardeau,FALSE
Tamiami,FALSE
Kendale Lakes,FALSE
Grants Pass,FALSE
Blue Springs,FALSE
Southaven,FALSE
Tinley Park,FALSE
Diamond Bar,FALSE
Pittsfield,FALSE
Eagle Pass,FALSE
New Brunswick,FALSE
Lenexa,FALSE
Hazleton,FALSE
Twin Falls,FALSE
Brookhaven,FALSE
Novato,FALSE
Tigard,FALSE
Highland,FALSE
Fountain Valley,FALSE
Dearborn Heights,FALSE
Grapevine,FALSE
Fond du Lac,FALSE
Hacienda Heights,FALSE
Ithaca,FALSE
Apple Valley,FALSE
Chicopee,FALSE
Oak Lawn,FALSE
Cathedral City,FALSE
Delano,FALSE
Bentonville,FALSE
Stonecrest,FALSE
Kettering,FALSE
Colton,FALSE
Kingston,FALSE
West Haven,FALSE
St. Cloud,FALSE
Normal,FALSE
Berwyn,FALSE
Milford,FALSE
Aloha,FALSE
Arroyo Grande,FALSE
Minnetonka,FALSE
Rosemead,FALSE
Paramount,FALSE
Yucaipa,FALSE
Brunswick,FALSE
Williamsport,FALSE
Elyria,FALSE
Leesburg,FALSE
Mount Prospect,FALSE
Pinellas Park,FALSE
Bellevue,FALSE
West Sacramento,FALSE
Apopka,FALSE
Lewiston,FALSE
Grand Island,FALSE
Palm Desert,FALSE
Milford city ,FALSE
Watertown,FALSE
Little Elm,FALSE
Chambersburg,FALSE
Revere,FALSE
Peabody,FALSE
Wylie,FALSE
Beaufort,FALSE
Aspen Hill,FALSE
DeSoto,FALSE
Helena,FALSE
Edina,FALSE
Wheaton,FALSE
West New York,FALSE
Hoboken,FALSE
Lacey,FALSE
Summerville,FALSE
Oak Park,FALSE
Maricopa,FALSE
Lompoc,FALSE
Kentwood,FALSE
Levittown,FALSE
Sierra Vista,FALSE
Levittown,FALSE
Madison,FALSE
Smyrna,FALSE
Glendora,FALSE
Burien,FALSE
Perth Amboy,FALSE
Herriman,FALSE
Farmington,FALSE
New Bern,FALSE
Placentia,FALSE
Hinesville,FALSE
Beaumont,FALSE
Collierville,FALSE
West Lafayette,FALSE
Florissant,FALSE
Hoffman Estates,FALSE
Queen Creek,FALSE
Aliso Viejo,FALSE
Kannapolis,FALSE
Methuen Town,FALSE
Sahuarita,FALSE
Traverse City,FALSE
Severn,FALSE
Catalina Foothills,FALSE
Galveston,FALSE
Country Club,FALSE
Cookeville,FALSE
Mishawaka,FALSE
Rowland Heights,FALSE
Plainfield,FALSE
Bullhead City,FALSE
Stillwater,FALSE
Forney,FALSE
Wheaton,FALSE
Azusa,FALSE
North Bethesda,FALSE
Cerritos,FALSE
Ashburn,FALSE
Bloomsburg,FALSE
Morehead City,FALSE
Coral Gables,FALSE
Enid,FALSE
Lakewood,FALSE
Oroville,FALSE
Wilson,FALSE
Lawrence,FALSE
Portage,FALSE
Minot,FALSE
Dunwoody,FALSE
Poway,FALSE
San Jacinto,FALSE
Troy,FALSE
Newark,FALSE
Cuyahoga Falls,FALSE
Downers Grove,FALSE
Bedford,FALSE
Reedley,FALSE
Dublin,FALSE
Marana,FALSE
Cypress,FALSE
Hollister,FALSE
Murray,FALSE
Roswell,FALSE
Pascagoula,FALSE
Tuckahoe,FALSE
Ceres,FALSE
St. Louis Park,FALSE
Rio Grande City,FALSE
Draper,FALSE
Palm Springs,FALSE
Paducah,FALSE
Findlay,FALSE
University,FALSE
Bel Air South,FALSE
Antelope,FALSE
Kyle,FALSE
Monroe,FALSE
Lincoln,FALSE
Ocoee,FALSE
Burleson,FALSE
La Mirada,FALSE
Farmers Branch,FALSE
East Lansing,FALSE
Uniontown,FALSE
Jeffersonville,FALSE
Winder,FALSE
Wauwatosa,FALSE
Littleton,FALSE
Cumberland,FALSE
Cedar Hill,FALSE
Carrollton,FALSE
Rancho Santa Margarita,FALSE
Beavercreek,FALSE
Niagara Falls,FALSE
McLean,FALSE
North Highlands,FALSE
East Providence,FALSE
Florin,FALSE
East Honolulu,FALSE
Chesterfield,FALSE
Covina,FALSE
Bothell,FALSE
Glenview,FALSE
Mentor,FALSE
Keller,FALSE
Danville,FALSE
Spring Hill,FALSE
Roseville,FALSE
Elmhurst,FALSE
New Philadelphia,FALSE
Sandusky,FALSE
El Dorado Hills,FALSE
Salina,FALSE
Euclid,FALSE
Kingman,FALSE
Everett,FALSE
Farmington,FALSE
Weatherford,FALSE
Middletown,FALSE
Roseburg,FALSE
Biloxi,FALSE
Leavenworth,FALSE
Fort Pierce,FALSE
Winter Garden,FALSE
Oro Valley,FALSE
Morgan Hill,FALSE
Potomac,FALSE
Pinehurst,FALSE
Danville,FALSE
Rockwall,FALSE
Coachella,FALSE
Wake Forest,FALSE
Pearl City,FALSE
Tupelo,FALSE
Attleboro,FALSE
Pine Bluff,FALSE
Oakland Park,FALSE
Marion,FALSE
Hilo,FALSE
Lufkin,FALSE
Altadena,FALSE
Manitowoc,FALSE
Lake Ridge,FALSE
Selma,FALSE
Strongsville,FALSE
Danville,FALSE
Quincy,FALSE
Lancaster,FALSE
Riverton,FALSE
The Colony,FALSE
Urbandale,FALSE
Plainfield,FALSE
Lombard,FALSE
Prescott,FALSE
North Lauderdale,FALSE
Eureka,FALSE
Hackensack,FALSE
Sayreville,FALSE
Altamonte Springs,FALSE
Del Rio,FALSE
Cleveland Heights,FALSE
Bountiful,FALSE
Desert Hot Springs,FALSE
Peachtree Corners,FALSE
Haltom City,FALSE
Ormond Beach,FALSE
Cutler Bay,FALSE
Trujillo Alto,FALSE
Adrian,FALSE
Goose Creek,FALSE
Moorhead,FALSE
Westfield,FALSE
Concord,FALSE
Annandale,FALSE
Rohnert Park,FALSE
Brea,FALSE
Klamath Falls,FALSE
Salem,FALSE
Channelview,FALSE
North Miami Beach,FALSE
Whitney,FALSE
Freeport,FALSE
Centralia,FALSE
Gallatin,FALSE
Stevens Point,FALSE
San Bruno,FALSE
Burke,FALSE
Brentwood,FALSE
North Fort Myers,FALSE
Hicksville,FALSE
West Babylon,FALSE
Edmonds,FALSE
Apache Junction,FALSE
Fairfield,FALSE
Oakley,FALSE
Hutchinson,FALSE
Greenwood,FALSE
Richmond,FALSE
Linden,FALSE
Puyallup,FALSE
Huntsville,FALSE
Urbana,FALSE
Beverly,FALSE
Clovis,FALSE
Statesboro,FALSE
Hobbs,FALSE
McMinnville,FALSE
Schertz,FALSE
Bell Gardens,FALSE
Oviedo,FALSE
Odenton,FALSE
Grove City,FALSE
Campbell,FALSE
Wentzville,FALSE
Woonsocket,FALSE
La Quinta,FALSE
Weslaco,FALSE
Zanesville,FALSE
Newnan,FALSE
Shakopee,FALSE
Brighton,FALSE
Catonsville,FALSE
Rancho Palos Verdes,FALSE
Mableton,FALSE
Coppell,FALSE
Linton Hall,FALSE
Moline,FALSE
Delaware,FALSE
Westfield,FALSE
Shelton,FALSE
Greenacres,FALSE
Westerville,FALSE
Manassas,FALSE
Kearny,FALSE
Los Banos,FALSE
Richmond,FALSE
Spanish Fork,FALSE
Belleville,FALSE
Maplewood,FALSE
Wilkes-Barre,FALSE
Pottsville,FALSE
Columbia,FALSE
Bartlett,FALSE
Bluefield,FALSE
Fitchburg,FALSE
Marion,FALSE
Cedar Falls,FALSE
Buffalo Grove,FALSE
Jamestown,FALSE
Woodlawn,FALSE
Clarksburg,FALSE
Royal Palm Beach,FALSE
Marion,FALSE
Covington,FALSE
Coram,FALSE
Friendswood,FALSE
Indian Trail,FALSE
Woburn,FALSE
The Acreage,FALSE
Holyoke,FALSE
Montclair,FALSE
South Valley,FALSE
Torrington,FALSE
Cedar City,FALSE
San Gabriel,FALSE
Hallandale Beach,FALSE
Crystal Lake,FALSE
Calexico,FALSE
Lake Oswego,FALSE
Amherst,FALSE
Muskogee,FALSE
Romeoville,FALSE
Plant City,FALSE
Keizer,FALSE
New Berlin,FALSE
Chelsea,FALSE
La Puente,FALSE
Roy,FALSE
Security-Widefield,FALSE
Marlborough,FALSE
Milton,FALSE
Issaquah,FALSE
Waipahu,FALSE
Essex,FALSE
Bartlesville,FALSE
Lancaster,FALSE
Streamwood,FALSE
Germantown,FALSE
Annapolis,FALSE
Carol Stream,FALSE
Asheboro,FALSE
Culver City,FALSE
Kalispell,FALSE
Arecibo,FALSE
Lynnwood,FALSE
Mooresville,FALSE
Brookfield,FALSE
Crestview,FALSE
Horizon West,FALSE
Clinton,FALSE
Moses Lake,FALSE
New Castle,FALSE
Olive Branch,FALSE
Enterprise,FALSE
Sun City,FALSE
Frankfort,FALSE
Northglenn,FALSE
Warren,FALSE
Duncanville,FALSE
Hurst,FALSE
Clermont,FALSE
Wheeling,FALSE
Fort Lee,FALSE
Pacifica,FALSE
Lake Worth,FALSE
Lebanon,FALSE
Kendall West,FALSE
Land O' Lakes,FALSE
Eagle Mountain,FALSE
Reynoldsburg,FALSE
Oxford,FALSE
Rosenberg,FALSE
