Rank,City,Total Score,Home & Community Safety Rank,Natural-Disaster Risk Rank,Financial Safety Rank
94,"San Antonio, TX",69.74,99,73,114
95,"Fort Worth, TX",69.69,68,134,107
96,"Columbus, GA",69.66,97,38,158
97,"Providence, RI",69.65,112,10,122
98,"Ontario, CA",69.46,44,156,128
99,"Austin, TX",69.44,116,98,43
100,"Fort Smith, AR",69.03,133,94,58
101,"Reno, NV",68.96,81,158,51
102,"Rapid City, SD",68.80,130,129,19
103,"Fontana, CA",68.79,47,163,136
104,"Phoenix, AZ",68.79,139,25,65
105,"Akron, OH",68.68,101,68,164
106,"Minneapolis, MN",68.55,106,131,50
107,"Pittsburgh, PA",68.39,123,72,82
108,"Augusta, GA",68.38,153,61,125
109,"Aurora, CO",68.36,95,133,80
110,"Fresno, CA",68.25,104,117,113
111,"Knoxville, TN",68.24,122,78,102
112,"Riverside, CA",68.21,62,164,117
113,"North Las Vegas, NV",68.09,94,99,149
114,"Mobile, AL",68.08,121,43,156
115,"Tulsa, OK",67.82,120,120,53
116,"Seattle, WA",67.75,124,141,5
117,"Charleston, WV",67.67,152,45,70
118,"Boston, MA",67.64,144,35,74
119,"Honolulu, HI",67.63,30,N/A,78
120,"Jacksonville, FL",67.60,134,62,106
121,"Louisville, KY",67.49,125,106,75
122,"Nashville, TN",67.39,128,115,66
123,"San Francisco, CA",67.27,136,123,25
124,"Amarillo, TX",67.27,110,162,47
125,"Columbia, SC",67.16,135,83,109
126,"Long Beach, CA",66.95,66,152,162
127,"Houston, TX",66.88,115,102,140
128,"Modesto, CA",66.73,119,135,77
129,"New York, NY",66.66,141,34,130
130,"Atlanta, GA",66.53,111,82,169
131,"Jersey City, NJ",66.27,129,84,151
132,"Port St. Lucie, FL",66.06,36,N/A,99
133,"Cincinnati, OH",65.94,138,76,141
134,"Montgomery, AL",65.88,131,93,172
135,"Wilmington, DE",65.85,151,23,145
136,"Hialeah, FL",65.79,75,128,181
137,"Garland, TX",65.71,145,110,94
138,"Springfield, MO",65.58,149,127,31
139,"Tacoma, WA",65.28,137,145,61
140,"Charleston, SC",65.24,132,165,48
141,"Bakersfield, CA",65.11,118,146,111
142,"St. Paul, MN",65.07,59,N/A,44
143,"Albuquerque, NM",64.91,146,88,133
144,"El Paso, TX",64.51,156,74,98
145,"Chicago, IL",64.51,140,79,168
146,"Tucson, AZ",64.46,162,65,54
147,"Columbus, OH",64.14,158,46,97
148,"Indianapolis, IN",63.83,147,124,105
149,"Wichita, KS",63.79,127,172,88
150,"Newark, NJ",63.68,142,29,178
151,"Milwaukee, WI",63.40,155,52,157
152,"Kansas City, MO",63.34,150,138,81
153,"Miami, FL",63.06,113,118,182
154,"Stockton, CA",62.73,148,140,123
155,"Baltimore, MD",62.28,163,67,134
156,"Shreveport, LA",62.17,154,100,170
157,"Lubbock, TX",61.92,168,114,41
158,"West Valley City, UT",61.53,109,N/A,20
159,"Orlando, FL",61.41,166,32,146
160,"Washington, DC",61.14,172,80,56
161,"Dallas, TX",61.11,165,104,119
162,"Cleveland, OH",60.66,157,54,176
163,"Las Vegas, NV",59.94,167,96,150
164,"New Orleans, LA",59.52,169,31,171
165,"Denver, CO",59.43,170,139,64
166,"Philadelphia, PA",59.00,178,15,129
167,"Lexington-Fayette, KY",58.98,117,N/A,35
168,"Oakland, CA",58.88,160,155,131
169,"Little Rock, AR",58.42,159,147,159
170,"St. Petersburg, FL",57.89,100,N/A,127
171,"Anchorage, AK",57.82,173,161,42
172,"Los Angeles, CA",57.61,161,149,166
173,"Chattanooga, TN",57.51,177,109,124
174,"Oklahoma City, OK",56.12,164,173,46
175,"Memphis, TN",56.11,174,85,177
176,"Baton Rouge, LA",55.67,182,90,112
177,"Jackson, MS",55.59,171,137,175
178,"Detroit, MI",55.11,181,41,174
179,"Birmingham, AL",53.71,175,136,180
180,"San Bernardino, CA",53.14,180,160,153
181,"St. Louis, MO",40.60,179,N/A,160
182,"Fort Lauderdale, FL",38.96,176,N/A,179
